time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	-9.25596e+61	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	-0.963023	-0.621681	-15.6716	-2.00842e-15	1.19377e-16	radar	3.24119	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.16259	0.439132	11.3677	-0.850753	-0.0766142	lidar	3.3593	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.24461	0.524329	4.79385	-0.330057	0.0407766	radar	2.41181	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.60551	0.545444	5.95406	-0.184334	0.075109	lidar	1.00756	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.84496	0.5504	5.64554	-0.100404	0.194806	radar	0.92544	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.15076	0.557079	5.60485	-0.0521206	0.277943	lidar	0.625784	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.3638	0.626886	5.25597	0.08506	0.724768	radar	3.42958	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.63106	0.656121	5.26288	0.122373	0.72088	lidar	0.040913	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.89729	0.660912	5.29189	0.11281	0.555897	radar	0.132105	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.12623	0.680208	5.26144	0.134836	0.550854	lidar	0.842557	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.42129	0.578535	5.30961	-0.0220346	-0.0112101	radar	2.83671	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.73154	0.479718	5.36891	-0.141799	-0.347335	lidar	3.45333	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.00313	0.55926	5.39362	-0.0242527	0.00561735	radar	2.52331	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.27738	0.56057	5.39972	-0.0172971	0.0206471	lidar	0.0750057	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.53482	0.599408	5.35671	0.0195943	0.0928327	radar	1.00244	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.72024	0.715988	5.25221	0.125893	0.299693	lidar	9.76832	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.97439	0.715657	5.20737	0.111575	0.242679	radar	2.58463	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.28031	0.705963	5.26111	0.0889871	0.179516	lidar	3.29441	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.53803	0.714656	5.27183	0.088016	0.163477	radar	1.54206	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.83482	0.723408	5.30994	0.0829875	0.1417	lidar	1.86938	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.08281	0.654286	5.25469	0.0291535	0.0449444	radar	5.05847	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.33879	0.759647	5.25564	0.0927738	0.137239	lidar	2.40957	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.59018	0.793708	5.22971	0.104836	0.144363	radar	0.624798	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.84182	0.787105	5.21809	0.0921967	0.116386	lidar	0.52921	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.08968	0.773649	5.16615	0.0758328	0.0851708	radar	4.20035	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.31365	0.851603	5.13654	0.113385	0.129767	lidar	2.40762	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.60089	0.867023	5.18944	0.110807	0.117728	radar	3.91165	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.85412	0.839736	5.17898	0.0872347	0.0795956	lidar	1.06507	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	8.10692	0.860035	5.14834	0.0894448	0.0769388	radar	2.80177	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444500000	8.34767	0.871654	5.13125	0.0880034	0.0702639	lidar	0.569175	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444550000	8.60984	0.962333	5.17218	0.125484	0.113418	radar	5.86516	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
1477010444600000	8.84846	1.01472	5.15614	0.141492	0.12644	lidar	0.62464	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
1477010444650000	9.13356	1.05532	5.19254	0.147892	0.126146	radar	6.5948	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245
1477010444700000	9.37252	1.08262	5.17321	0.149469	0.120421	lidar	0.762665	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082
1477010444750000	9.64723	1.15614	5.20571	0.170677	0.138845	radar	4.24129	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873
1477010444800000	9.9172	1.27655	5.23075	0.212683	0.182222	lidar	2.69021	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794
1477010444850000	10.1684	1.36793	5.2099	0.240408	0.207754	radar	4.57919	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3967	1.44488	5.18781	0.259023	0.218448	lidar	1.14134	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6335	1.53406	5.14668	0.284482	0.241219	radar	4.47836	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8645	1.56256	5.12135	0.2769	0.217412	lidar	1.63584	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1273	1.6152	5.13819	0.276988	0.20304	radar	1.75571	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.4054	1.65587	5.16235	0.2697	0.180725	lidar	1.8535	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6397	1.71672	5.13305	0.277354	0.1811	radar	1.19178	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
